movie_id,title,release_year,imdbId,tmdbId,imdb_rating,adult,budget,origin_country,vote_count,vote_average,origin_language,overview,tmdb_popularity_score,production_companies,production_companies_origin_country,runtime,revenue,spoken_languages,directors_info,popular,unique_producers,popular_producer
1,Toy Story (1995),1995,114709,862,8.3,FALSE,30000000,US,18849,7.968,en,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",23.1155,Pixar,US,81,394436586,English,"[['John Lasseter', '2.0842', 'Male']]",1,['Pixar'],0
2,GoldenEye (1995),1995,113189,710,7.2,FALSE,60000000,GB,4012,6.893,en,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",6.4216,EON Productions,GB,130,352194034,"English,Pусский,Español","[['Martin Campbell', '0.9017', 'Male']]",1,['EON Productions'],0
3,Four Rooms (1995),1995,113101,5,6.7,FALSE,4000000,US,2694,5.862,en,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,3.4017,"Miramax,A Band Apart","US,US",98,4257354,English,"[['Allison Anders', '0.3886', 'Female'], ['Alexandre Rockwell', '0.3218', 'Male'], ['Robert Rodriguez', '2.2918', 'Male'], ['Quentin Tarantino', '6.3344', 'Male']]",0,"['A Band Apart', 'Miramax']",1
4,Get Shorty (1995),1995,113161,8012,6.9,FALSE,30250000,US,1095,6.503,en,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",4.0703,"Metro-Goldwyn-Mayer,Jersey Films","US,US",105,115101622,English,"[['Barry Sonnenfeld', '0.7884', 'Male']]",0,"['Jersey Films', 'Metro-Goldwyn-Mayer']",1
5,Copycat (1995),1995,112722,1710,6.6,FALSE,20000000,US,1014,6.505,en,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,4.3406,"New Regency Pictures,Regency Enterprises,Warner Bros. Pictures","US,US,US",124,32000000,"English,Deutsch,Italiano","[['Jon Amiel', '0.4666', 'Male']]",0,"['Warner Bros. Pictures', 'Regency Enterprises', 'New Regency Pictures']",1
6,Shanghai Triad  (1995),1995,115012,37557,7.1,FALSE,2300000,CN,98,6.75,zh,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",1.5617,"Alpha Films,La Sept Cinéma,UGC,Shanghai Film Studios",",FR,FR,",108,0,普通话,"[['Zhang Yimou', '2.5615', 'Male']]",0,"['Shanghai Film Studios', 'Alpha Films', 'UGC', 'La Sept Cinéma']",0
8,Babe (1995),1995,112431,9598,6.9,FALSE,30000000,"AU,US",2959,6.244,en,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",5.4462,"Universal Pictures,Kennedy Miller Productions","US,AU",92,254100000,English,"[['Chris Noonan', '0.5917', 'Male']]",0,"['Universal Pictures', 'Kennedy Miller Productions']",1
9,Dead Man Walking (1995),1995,112818,687,7.5,FALSE,11000000,"US,GB",1394,7.317,en,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,2.8128,"Havoc,PolyGram Filmed Entertainment,Working Title Films",",US,GB",122,39363635,English,"[['Tim Robbins', '2.4099', 'Male']]",1,"['PolyGram Filmed Entertainment', 'Working Title Films', 'Havoc']",1
10,Richard III (1995),1996,114279,31174,7.3,FALSE,0,"US,GB",180,6.719,en,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",0.8078,"Mayfair Entertainment International,British Screen,United Artists,First Look Pictures,Bayly/Paré Productions,Metro-Goldwyn-Mayer","GB,GB,US,US,US,US",104,2748518,English,"[['Richard Loncraine', '0.2744', 'Male']]",0,"['United Artists', 'British Screen', 'Bayly/Paré Productions', 'Mayfair Entertainment International', 'Metro-Goldwyn-Mayer', 'First Look Pictures']",1
12,"Usual Suspects, The (1995)",1995,114814,629,8.5,FALSE,6000000,US,10699,8.174,en,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",8.7888,"Bad Hat Harry Productions,Blue Parrot Productions","US,",106,23300000,"Español,English,Français,Magyar","[['Bryan Singer', '1.0509', 'Male']]",1,"['Bad Hat Harry Productions', 'Blue Parrot Productions']",0
13,Mighty Aphrodite (1995),1995,113819,11448,7,FALSE,15000000,US,700,6.723,en,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",1.1365,"Miramax,Jean Doumanian Productions,Sweetland Films","US,US,",95,26000000,English,"[['Woody Allen', '1.9807', 'Male']]",0,"['Sweetland Films', 'Jean Doumanian Productions', 'Miramax']",1
15,Mr. Holland's Opus (1995),1996,113862,2054,7.3,FALSE,31000000,US,426,6.957,en,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",2.0061,"Hollywood Pictures,Interscope Communications,PolyGram Filmed Entertainment,The Charlie Mopic Company","US,US,US,",143,106300000,English,"[['Stephen Herek', '0.7557', 'Male']]",1,"['Interscope Communications', 'Hollywood Pictures', 'PolyGram Filmed Entertainment', 'The Charlie Mopic Company']",1
16,French Twist (Gazon maudit) (1995),1995,113149,4482,6.4,FALSE,0,FR,309,6.068,fr,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",0.8737,"Les Films Flam,Renn Productions,Canal+,TF1 Films Production",",FR,FR,FR",95,0,"Français,Español","[['Josiane Balasko', '0.6706', 'Female']]",0,"['Les Films Flam', 'Renn Productions', 'TF1 Films Production', 'Canal+']",0
17,From Dusk Till Dawn (1996),1996,116367,755,7.2,FALSE,19000000,US,6082,7.03,en,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.",8.3069,"Los Hooligans Productions,A Band Apart,Dimension Films","US,US,US",108,25800000,"English,Español","[['Robert Rodriguez', '2.2918', 'Male']]",0,"['Dimension Films', 'A Band Apart', 'Los Hooligans Productions']",0
20,Angels and Insects (1995),1995,112365,8447,6.8,FALSE,0,"GB,US",51,6.304,en,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",0.5722,"Playhouse International Pictures,The Samuel Goldwyn Company,Film4 Productions",",US,GB",118,0,English,"[['Philip Haas', '0.1023', 'Male']]",0,"['Film4 Productions', 'Playhouse International Pictures', 'The Samuel Goldwyn Company']",1
21,Muppet Treasure Island (1996),1996,117110,10874,6.9,FALSE,31000000,"GB,US",416,6.661,en,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",2.0326,"Walt Disney Pictures,Jim Henson Productions","US,US",99,34300000,English,"[['Brian Henson', '0.9269', 'Male']]",0,"['Walt Disney Pictures', 'Jim Henson Productions']",1
22,Braveheart (1995),1996,112573,197,8.3,FALSE,72000000,US,10417,7.944,en,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",12.6442,"Icon Entertainment International,The Ladd Company,B.H. Finance C.V.","GB,US,",177,213216216,"English,Français,Latin,","[['Mel Gibson', '6.497', 'Male']]",1,"['Icon Entertainment International', 'B.H. Finance C.V.', 'The Ladd Company']",0
23,Taxi Driver (1976),1996,75314,103,8.2,FALSE,1900000,US,12663,8.134,en,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,13.5508,"Italo/Judeo Productions,Bill/Phillips,Columbia Pictures",",,US",114,28579636,"English,Español","[['Martin Scorsese', '4.1152', 'Male']]",1,"['Italo/Judeo Productions', 'Bill/Phillips', 'Columbia Pictures']",1
