gameid,title,platform,developers,publishers,genres,supported_languages,release_date
749375,Medieval Match Master,PS4,['Erik Games'],['Erik Games'],['Puzzle'],,22/11/2024
749839,Sunforge Solar Survival,PS4,['GrizzlyGames'],['GrizzlyGames'],,,21/11/2024
749347,Find Love Or Die Trying,PS5,['Sunseeker Games'],['Ratalaika Games'],['Visual Novel'],,22/11/2024
749341,Medieval Match Master,PS4,['Erik Games'],['Erik Games'],['Puzzle'],,22/11/2024
749097,Bust A Block 2,PS5,['ThiGames'],['ThiGames'],['Puzzle'],,21/11/2024
749095,Bust A Block 2,PS4,['ThiGames'],['ThiGames'],['Puzzle'],,21/11/2024
746306,Trading Card Shop Simulator,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Simulation'],,14/11/2024
746215,Trading Card Shop Simulator,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Simulation'],,14/11/2024
745840,Sprawl,PS5,['MAETH'],['Rogue Games'],['First Person Shooter'],,21/11/2024
746216,Trading Card Shop Simulator,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Simulation'],,14/11/2024
745671,Pipe Connect,PS4,['ASI GAMES TECHNOLOGIES'],['ASI GAMES TECHNOLOGIES'],['Puzzle'],,11/11/2024
745093,Run From Mummies,PS5,['Lost Turnip'],['Lost Turnip'],['Action-Adventure'],,6/11/2024
745453,Neo Harbor Rescue Squad,PS4,['BancyCo'],['BancyCo'],['Action'],"['Chinese (traditional)', 'Chinese (simplified)']",12/11/2024
744562,Racing Champions,PS4,['Revulo Games'],['Revulo Games'],"['Automobile', 'Arcade Racing']",,8/11/2024
744193,Cubic Run,PS4,['Webnetic'],['Webnetic'],['Platformer'],,9/11/2024
744192,Cubic Run,PS5,['Webnetic'],['Webnetic'],['Platformer'],,9/11/2024
749591,Volley Pals,PS4,['NAISU'],['NAISU'],"['Volleyball', 'Sports', 'Party']",,22/11/2024
749407,Hop Up,PS5,['Zakym'],['Zakym'],['Platformer'],,23/11/2024
749385,Hop Up,PS4,['Zakym'],['Zakym'],['Platformer'],,23/11/2024
749302,Slave Zero X,PS4,['Poppy Works'],"['Ziggurat Interactive', 'Beep Japan']",['Action-Adventure'],"['Japanese', 'French', 'Spanish', 'German', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Portuguese (Brazil)', 'Spanish (Mexico)', 'Thai']",21/02/2024
749237,Jetpack Kiwi,PS5,['Pitigamedev'],['Ratalaika Games'],"[""Shoot 'em up""]",,8/11/2024
749170,Basketball Legends 24,PS4,['DEZVOLT App & Idei'],['DEZVOLT App & Idei'],"['Sports', 'Basketball']",,22/10/2024
749075,Zen Drift,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],"['Automobile', 'Arcade Racing']",,21/11/2024
746288,Unsolved Case: Killer Popularity CE,PS4,['Do Games'],['Legacy Interactive'],"['Adventure', 'Point & Click']",,1/11/2024
746253,Check and Slash,PS5,['Gate of Madness'],['AFIL Games'],"['Roguelite', 'Hack & Slash', 'Card & Board']",['Portuguese (Brazil)'],15/11/2024
746144,VED,PS5,['Karaclan Studio'],['Fulqrum Publishing'],"['Role Playing', 'Turn Based']",['Russian'],14/11/2024
746067,LEGO Horizon Adventures,PS5,"['Guerrilla Games', 'Studio Gobo']",['Sony Interactive Entertainment'],['Action-Adventure'],,14/11/2024
745787,The Rise of the Golden Idol,PS5,['Color Gray Games'],['PlayStack'],['Puzzle'],,12/11/2024
745544,Bottle: Pilgrim Redux,PS4,"['Tonguc Bodur', 'Catness Game Studios']",['Catness Game Studios'],['Adventure'],,30/10/2024
